Database ID,WO Type,Date Opened,Input Bulk Lot ID(s),Input Bulk Lot Type(s),Production,Total WO Input Weight,Total Finalized Weight,Output Bulk Lot ID(s),Output Bulk Lot Type(s),Production,Output Weight per Bulk Lot,Total Output Weight,Date Closed
2839,Oil - Decarboxylation,5/1/2018 13:10,625,Oil,Oil Nebula II,6358,5626.5,625,Oil,Oil Nebula II,5626.5,5626.5,5/1/2018 13:11
2843,Oil - Decarboxylation,5/1/2018 15:28,631,Oil,Oil Black Widow,2615,2350.5,631,Oil,Oil Black Widow,2350.5,2350.5,5/1/2018 15:29
2852,Oil - Decarboxylation,5/2/2018 15:26,628,Oil,Oil Nebula II,9843,8764,628,Oil,Oil Nebula II,8764,8764,5/2/2018 15:27
2886,Oil - Decarboxylation,5/7/2018 16:18,627,Oil,Oil Nebula II,5740.5,5073,627,Oil,Oil Nebula II,5073,5073,5/7/2018 16:19
3108,Oil - Decarboxylation,6/6/2018 16:53,687,Oil,Oil Treasure Island (APH),9958.5,8633.5,687,Oil,Oil Treasure Island (APH),8633.5,8633.5,6/6/2018 16:55
3062,Oil - Decarboxylation,5/30/2018 12:29,686,Oil,Oil Treasure Island (APH),9354,8122,686,Oil,Oil Treasure Island (APH),8122,8122,5/30/2018 12:30
3064,Oil - Decarboxylation,5/30/2018 16:26,691,Oil,Oil Alien Dawg (APH),9944,8705.5,691,Oil,Oil Alien Dawg (APH),8705.5,8705.5,5/30/2018 16:26
3073,Oil - Decarboxylation,6/1/2018 14:36,692,Oil,Oil Black Widow,12717,10828.5,692,Oil,Oil Black Widow,10828.5,10828.5,6/1/2018 14:37
3244,Oil - Decarboxylation,6/26/2018 15:47,468,Oil,Oil Northern Lights,9021,7928,468,Oil,Oil Northern Lights,7928,7928,6/26/2018 15:48
3407,Oil - Decarboxylation,7/25/2018 15:59,776,Oil,Oil THC/CBD Mixed Blend ,5540.1,4869,776,Oil,Oil THC/CBD Mixed Blend ,4869,4869,7/25/2018 16:00
