,,,,0= No,,,1=Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,User Input Field,,,,,Autopopulate,,,,,,,,,,,,Extraction Efficiency,,,,,,,Spent % (as is),,,Output % (anhydrous),,,,Decarb % (as is),,,Input % (anhydrous),,
UniqueID,Extraction Date (yyyy/mm/dd),Strain,CBD=1,Lot Number,Extraction Run,Time (mins),Col1/2,PSI,Temp (°C),Program Used 0/1,Mass CO2 Used (lbs),CO2 Used (kg),kg CO2/min,Marble Diffuser (1/0),Notes,massCO2/g THC,massCO2/g CBD,massCO2/g CBN,THC,CBD,CBN,Input Mass (g),Output Spent Mass (g),% Mass Extracted,Spent Moisture,THC,CBD,CBN,THC,CBD,CBN,Decarb Moisture,THC,CBD,CBN,THC,CBD,CBN
35,13/02/2018,TI,,441,3,180,2,5000,65,1,76,34.5,0.192,1,,,,,-,-,-,1329.5,1074,19.20%,0.0256,,,,,,,0.0256,0.006288869,0.13379925,0.000128026,0.006288869,0.13379925,0.000128026
36,14/02/2018,TI,,441,4,,,,,,,,,1,,,,,-,-,-,1430,1188.5,16.90%,0.0252,,,,,,,0.0252,0.006288869,0.13379925,0.000128026,0.006288869,0.13379925,0.000128026
37,14/02/2018,TI,,441,5,180,2,5000,65,1,92,41.8,0.232,1,,,,,-,-,-,1567,1295.5,17.30%,0.0416,,,,,,,0.0416,0.006288869,0.13379925,0.000128026,0.006288869,0.13379925,0.000128026
38,14/02/2018,TI,,441,6,180,1,5000,65,1,,0,0,1,,,,,-,-,-,1489,1213.5,18.50%,0.0319,,,,,,,0.0319,0.006288869,0.13379925,0.000128026,0.006288869,0.13379925,0.000128026
39,21/03/2018,JOG,,345,1,180,1,5000,65,1,105.5,48,0.266,1,,,,,-,-,-,1438,1111,22.70%,,,,,,,,,0.196509634,0.000586503,0.003006154,0.196509634,0.000586503,0.003006154
40,21/03/2018,JOG,,345,2,180,1,5000,65,1,,0,0,1,,,,,-,-,-,1534.5,1152.5,24.90%,,,,,,,,,0.196509634,0.000586503,0.003006154,0.196509634,0.000586503,0.003006154
41,21/03/2018,JOG,,345,3,180,2,5000,65,1,,0,0,1,,,,,-,-,-,1501.5,,-,,,,,,,,,,,,,,
42,22/03/2018,JOG,,345,4,180,2,5000,65,1,107,48.6,0.27,1,,,,,-,-,-,1539,,-,,,,,,,,,,,,,,
43,22/03/2018,JOG,,345,5,180,1,5000,65,1,100.5,45.7,0.254,1,,,,,-,-,-,,,-,,,,,,,,,,,,,,
44,22/03/2018,JOG,,345,6,180,2,5000,65,1,108.5,49.3,0.274,1,,,,,-,-,-,,,-,,,,,,,,,,,,,,
