,,,,0= No,,,1=Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,User Input Field,,,,,Autopopulate,,,,,,,,,,,,Extraction Efficiency,,,,,,,Spent % (as is),,,Output % (anhydrous),,,,Decarb % (as is),,,Input % (anhydrous),,
UniqueID,Extraction Date (yyyy/mm/dd),Strain,CBD=1,Lot Number,Extraction Run,Time (mins),Col1/2,PSI,Temp (°C),Program Used 0/1,Mass CO2 Used (lbs),CO2 Used (kg),kg CO2/min,Marble Diffuser (1/0),Notes,massCO2/g THC,massCO2/g CBD,massCO2/g CBN,THC,CBD,CBN,Input Mass (g),Output Spent Mass (g),% Mass Extracted,Spent Moisture,THC,CBD,CBN,THC,CBD,CBN,Decarb Moisture,THC,CBD,CBN,THC,CBD,CBN
231,17/12/2018,NN,1,982,5,85,1,5000,65,1,50,,,,,9.675858732,0.457920432,2418.964683,92%,95%,-192%,1722.5,1553,9.80%,,0.025,0.3119,0.0035,0.025,0.3119,0.0035,,0.3,6.339,0.0012,0.3,6.339,0.0012
232,17/12/2018,NN,1,982,6,110,2,5000,65,1,53.5,,,,,10.32918235,0.488839676,2582.295588,95%,96%,-142%,1726.5,1583.5,8.30%,,0.0163,0.2258,0.0029,0.0163,0.2258,0.0029,,0.3,6.339,0.0012,0.3,6.339,0.0012
233,18/12/2018,NN,1,982,7,90,1,5000,65,1,51.5,,,,,9.980620155,0.472343595,2495.155039,88%,93%,-250%,1720,1570.5,8.70%,,0.0369,0.4258,0.0042,0.0369,0.4258,0.0042,,0.3,6.339,0.0012,0.3,6.339,0.0012
234,18/12/2018,NN,1,982,8,100,2,5000,65,1,50,,,,,10.22808633,0.484055198,2557.021581,97%,98%,100%,1629.5,1473.5,9.60%,,0.0079,0.1372,0,0.0079,0.1372,-,,0.3,6.339,0.0012,0.3,6.339,0.0012
235,18/12/2018,NN,1,982,9,90,1,5000,65,1,50.5,,,,,10.40379069,0.492370596,2600.947672,96%,97%,100%,1618,1461.5,9.70%,,0.0131,0.1738,0,0.0131,0.1738,-,,0.3,6.339,0.0012,0.3,6.339,0.0012
236,20/12/2018,TI,1,984,1,100,1,5000,65,1,61,,,,,7.544158682,0.282256459,388.9090782,94%,97%,100%,1600.5,1292.5,19.20%,,0.03,0.4329,0,0.03,0.4329,-,,0.5052,13.503,0.0098,0.5052,13.503,0.0098
234,20/12/2018,TI,1,984,2,84,2,5000,65,1,50.5,,,,,6.713258007,0.251169218,346.0753005,97%,98%,100%,1489,1215,18.40%,,0.0173,0.3136,0,0.0173,0.3136,-,,0.5052,13.503,0.0098,0.5052,13.503,0.0098
235,20/12/2018,TI,1,984,3,100,1,5000,45,1,50.5,,,,TEMP,6.58500736,0.24637086,339.4638488,82%,92%,100%,1518,1264.5,16.70%,,0.0927,1.126,0,0.0927,1.126,-,,0.5052,13.503,0.0098,0.5052,13.503,0.0098
236,20/12/2018,TI,1,984,4,117,2,5000,45,1,59.5,,,,TEMP,7.47067165,0.279507022,385.1207467,95%,98%,100%,1576.5,1266.5,19.70%,,0.0245,0.2439,0,0.0245,0.2439,-,,0.5052,13.503,0.0098,0.5052,13.503,0.0098
237,20/12/2018,TI,1,984,5,130,1,5000,65,1,59,,,,Night,8.456584469,0.316393873,435.9455585,93%,97%,100%,1381,1114.5,19.30%,,0.0366,0.4579,0,0.0366,0.4579,-,,0.5052,13.503,0.0098,0.5052,13.503,0.0098
238,21/12/2018,TI,1,984,6,121,1,5000,65,1,51.5,,,,,6.719830311,0.251415113,346.4141095,89%,95%,100%,1517,1230.5,18.90%,,0.0577,0.6987,0,0.0577,0.6987,-,,0.5052,13.503,0.0098,0.5052,13.503,0.0098
239,21/12/2018,TI,1,984,7,114,2,5000,85,1,49.5,,,,TEMP,5.828732756,0.218075671,300.4771212,91%,96%,100%,1681,1351,19.60%,,0.0454,0.5427,0,0.0454,0.5427,-,,0.5052,13.503,0.0098,0.5052,13.503,0.0098
240,02/01/2019,TI,1,994,1,100,1,5000,65,1,55,,,,,7.15332143,0.274669786,300.8193224,98%,99%,100%,1618,1309,19.10%,,0.0104,0.1653,0,0.0104,0.1653,-,7.59,0.4752,12.3758,0.0113,-0.072109256,-1.877966616,-0.001714719
241,02/01/2019,TI,1,994,2,120,2,5000,65,1,70.5,,,,,9.243525599,0.354928438,388.7188818,97%,98%,100%,1605,1293,19.40%,,0.0138,0.2796,0,0.0138,0.2796,-,7.59,0.4752,12.3758,0.0113,-0.072109256,-1.877966616,-0.001714719
242,03/01/2019,TI,1,994,3,110,1,5000,65,1,55,,,,,6.707663908,0.257557644,282.0780433,99%,99%,100%,1725.5,1382,19.90%,,0.0053,0.1267,0,0.0053,0.1267,-,7.59,0.4752,12.3758,0.0113,-0.072109256,-1.877966616,-0.001714719
243,03/01/2019,TI,1,994,4,125,2,5000,65,1,58.5,,,,,7.643965266,0.293509292,321.4524154,96%,98%,100%,1610.5,1301,19.20%,,0.0172,0.2252,0,0.0172,0.2252,-,7.59,0.4752,12.3758,0.0113,-0.072109256,-1.877966616,-0.001714719
244,03/01/2019,TI,1,994,5,110,1,5000,65,1,50,,,,,6.625872495,0.254417057,278.638461,89%,97%,100%,1588,1277.5,19.60%,,0.0529,0.4285,0,0.0529,0.4285,-,7.59,0.4752,12.3758,0.0113,-0.072109256,-1.877966616,-0.001714719
245,03/01/2019,TI,1,994,7,120,1,5000,65,1,55,,,,,7.22476534,0.277413055,303.8237601,93%,96%,100%,1602,1267,20.90%,,0.0349,0.4821,0,0.0349,0.4821,-,7.59,0.4752,12.3758,0.0113,-0.072109256,-1.877966616,-0.001714719
246,03/01/2019,TI,1,994,6,120,2,5000,65,1,63.5,,,,,8.705403657,0.334265891,366.0891874,79%,88%,100%,1535,1264.5,17.60%,,0.0989,1.5354,0,0.0989,1.5354,-,7.59,0.4752,12.3758,0.0113,-0.072109256,-1.877966616,-0.001714719
247,07/01/2019,NN,1,983,1,125,1,5000,65,1,50,,,,1PMP,10.54919088,0.484126274,214.5002145,93%,96%,71%,1554,1438,7.50%,,0.0224,0.2727,0.0044,0.0224,0.2727,0.0044,,0.305,6.646,0.015,0.305,6.646,0.015
248,07/01/2019,NN,1,983,2,140,2,5000,65,1,58,,,,1PMP,12.10079125,0.555332731,246.049422,93%,95%,100%,1571.5,1443,8.20%,,0.0226,0.3469,0,0.0226,0.3469,-,,0.305,6.646,0.015,0.305,6.646,0.015
249,09/01/2019,NN,1,983,3,115,1,5000,65,1,50,,,,1PMP,10.29092443,0.472273842,209.2487968,98%,98%,100%,1593,1449,9.00%,,0.0053,0.1229,0,0.0053,0.1229,-,,0.305,6.646,0.015,0.305,6.646,0.015
250,09/01/2019,NN,1,983,4,90,2,5000,65,1,50,,,,2PMP,9.851828499,0.452122734,200.3205128,89%,94%,61%,1664,1507.5,9.40%,,0.0326,0.4282,0.0059,0.0326,0.4282,0.0059,,0.305,6.646,0.015,0.305,6.646,0.015
251,09/01/2019,NN,1,983,5,90,1,5000,65,1,59,,,,,11.50417026,0.527952442,233.9181287,97%,97%,100%,1681.5,1531.5,8.90%,,0.01,0.2151,0,0.01,0.2151,-,,0.305,6.646,0.015,0.305,6.646,0.015
252,10/01/2019,NN,1,983,6,110,2,5000,65,1,59,,,,,12.2664948,0.562937242,249.4187275,83%,88%,12%,1577,1439,8.80%,,0.052,0.777,0.0132,0.052,0.777,0.0132,,0.305,6.646,0.015,,,
253,10/01/2019,NN,1,983,7,90,1,5000,65,1,51.5,,,,,10.55987861,0.484616758,214.7175318,100%,99%,100%,1599,1438,10.10%,,0,0.0708,0,-,0.0708,-,,0.305,6.646,0.015,,,
254,10/01/2019,NN,1,983,8,115,2,5000,65,1,50.5,,,,,10.82535276,0.496799969,220.1155062,99%,98%,100%,1529.5,1399,8.50%,,0.0034,0.1008,0,0.0034,0.1008,-,,0.305,6.646,0.015,,,
255,10/01/2019,NN,1,983,9,100,1,5000,65,1,50,,,,,11.01709854,0.505599617,224.0143369,96%,97%,100%,1488,1366,8.20%,,0.0113,0.1824,0,0.0113,0.1824,-,,0.305,6.646,0.015,,,
256,10/01/2019,NN,1,983,10,110,2,5000,65,1,53.5,,,,,12.98370363,0.595851581,264.0019738,98%,98%,100%,1351,1265,6.40%,,0.0046,0.1137,0,0.0046,0.1137,-,,0.305,6.646,0.015,,,
257,`2019/01/14,N2,1,1007,1,110,1,5000,65,1,50,,,,,5.139571488,0.247212295,384.8003848,100%,98%,100%,1687.5,1391,17.60%,,0,0.2502,0,-,0.2502,-,,0.5765,11.9855,0.0077,,,
258,`2019/01/14,N2,1,1007,2,100,2,5000,65,1,50.5,,,,,5.464602093,0.262846198,409.1354684,100%,86%,100%,1603,1345.5,16.10%,,0,1.6346,0,-,1.6346,-,,0.5765,11.9855,0.0077,,,
259,14/01/2019,N2,1,1007,3,130,1,5000,65,1,50,,,,,5.196540974,0.249952515,389.0656976,100%,99%,100%,1669,1366.5,18.10%,,0.0023,0.124,0,0.0023,0.124,-,,0.5765,11.9855,0.0077,,,
260,14/01/2019,N2,1,1007,4,130,2,5000,65,1,62,,,,,6.459191195,0.310685722,483.6004836,98%,99%,100%,1665,1344.5,19.20%,,0.0105,0.1404,0,0.0105,0.1404,-,,0.5765,11.9855,0.0077,,,
261,15/01/2019,N2,1,1007,5,120,1,5000,65,1,50,,,,,5.156377459,0.248020659,386.05865,100%,99%,-25%,1682,1411,16.10%,,0.0026,0.11,0.0096,0.0026,0.11,0.0096,,0.5765,11.9855,0.0077,,,
262,15/01/2019,N2,1,1007,6,120,2,5000,65,1,50,,,,,5.506683737,0.264870316,412.2861266,96%,97%,100%,1575,1327,15.70%,,0.0228,0.3439,0,0.0228,0.3439,-,,0.5765,11.9855,0.0077,,,
263,17/01/2019,N2,1,1008,1,120,1,5000,65,1,54,,,,,5.434979528,0.205568227,,82%,92%,#DIV/0!,1737,1405,19.10%,,0.101,1.2834,0.0031,0.101,1.2834,0.0031,,0.572,15.123,0,,,
266,18/01/2019,N2,1,1008,4,150,2,5000,65,1,58.5,,,,,5.859222416,0.221614443,,81%,90%,#DIV/0!,1745.5,1432,18.00%,,0.1081,1.4498,0.0075,0.1081,1.4498,0.0075,,0.572,15.123,0,,,
267,18/01/2019,N2,1,1008,5,160,1,5000,65,1,67,,,,,6.685665932,0.252873168,,79%,92%,#DIV/0!,1752,1416,19.20%,,0.1193,1.276,0,,,,,0.572,15.123,0,,,
270,22/01/2019,CBD,1,1020,1,130,1,5000,65,1,75,,,,,7.254482908,0.372865086,2083.072949,91%,96%,100%,1714.5,1503,12.30%,,0.056,0.4824,0,,,,,0.603,11.732,0.0021,,,
271,23/01/2019,CBD,1,1020,3,140,1,5000,65,1,70,,,,,6.768876705,0.347905954,1943.634597,91%,97%,-52%,1715,1510.5,11.90%,,0.0523,0.3558,0.0032,,,,,0.603,11.732,0.0021,,,
272,23/01/2019,CBD,1,1020,4,140,2,5000,65,1,70,,,,,6.540069605,0.336145753,1877.934272,85%,92%,-81%,1775,1462.5,17.60%,,0.0882,0.8923,0.0038,,,,,0.603,11.732,0.0021,,,
273,24/01/2019,CBD,1,1020,5,140,1,5000,65,1,70,,,,,6.766903847,0.347804553,1943.068105,88%,95%,-129%,1715.5,1441.5,16.00%,,0.0707,0.5395,0.0048,,,,,0.603,11.732,0.0021,,,
274,28/01/2019,CBD,1,1021,3,150,1,5000,65,1,75,,,,,4.048825598,0.383733241,170.0506751,98%,99%,100%,1633.5,1369.5,16.20%,,0.0198,0.1512,0,,,,,1.134,11.965,0.027,,,
275,28/01/2019,CBD,1,1021,4,150,2,5000,65,1,70.5,,,,,3.775846472,0.357861254,158.5855518,98%,99%,100%,1646.5,1319,19.90%,,0.0238,0.1782,0,,,,,1.134,11.965,0.027,,,
276,29/01/2019,CBD,1,1021,7,150,1,5000,65,1,66,,,,,3.849276336,0.364820674,161.6696061,94%,97%,100%,1512,1189.5,21.30%,,0.065,0.369,0,,,,,1.134,11.965,0.027,,,
277,29/01/2019,CBD,1,1021,8,150,2,5000,65,1,52,,,,,3.640760555,0.345058292,152.9119433,98%,98%,100%,1259.5,1030,18.20%,,0.025,0.236,0,,,,,1.134,11.965,0.027,,,
278,31/01/2019,CBD,1,1022,1,110,1,5000,65,1,60,,,,,7.114694809,0.325481985,196.7213115,86%,97%,70%,1525,1267,16.90%,,0.078,0.338,0.006,,,,,0.553,12.088,0.02,,,
279,31/01/2019,CBD,1,1022,2,130,2,5000,65,1,55,,,,,6.133672804,0.280602338,169.596053,95%,97%,100%,1621.5,1337,0.175454826,,0.029,0.327,0,,,,,0.553,12.088,0.02,,,
278,31/01/2019,CBD,1,1022,3,130,1,5000,65,1,50,,,,,5.8578499,0.267984033,161.9695497,84%,92%,100%,1543.5,1304,0.155166829,,0.088,0.985,0,,,,,0.553,12.088,0.02,,,
279,01/02/2019,CBD,1,1022,4,95,2,5000,65,1,45.5,,,,,5.088341436,0.232780676,140.6926407,90%,93%,100%,1617,1354,0.162646877,,0.055,0.81,0,,,,,0.553,12.088,0.02,,,
280,01/02/2019,CBD,1,1022,5,120,1,5000,65,1,40,,,,,4.290197542,0.19626731,118.623962,87%,95%,100%,1686,1425,0.15480427,,0.072,0.58,0,,,,,0.553,12.088,0.02,,,
281,01/02/2019,CBD,1,1022,6,90,2,5000,65,1,40,,,,,5.040608401,0.230596993,139.3728223,88%,94%,100%,1435,1195,0.167247387,,0.064,0.679,0,,,,,0.553,12.088,0.02,,,
282,01/02/2019,CBD,1,1022,7,90,1,5000,65,1,40,,,,,5.104638713,0.233526242,141.1432604,81%,91%,100%,1417,1226,0.134791814,,0.103,1.1,0,,,,,0.553,12.088,0.02,,,
283,01/02/2019,CBD,1,1022,8,120,2,5000,65,1,40,,,,,5.369913182,0.245661978,148.4780995,71%,84%,70%,1347,1158.5,0.139940609,,0.161,1.886,0.006,,,,,0.553,12.088,0.02,,,
284,04/02/2019,BW,1,1032,1,85,1,5000,65,1,45,,,,,0.492521014,0.296692942,38.90916008,73%,89%,100%,1502,1214,0.191744341,,1.6297,1.1243,0,,,,,6.083,10.098,0.077,,,
285,04/02/2019,BW,1,1032,2,100,2,5000,65,1,51.5,,,,,0.554434665,0.333989509,43.8003385,89%,95%,86%,1527,1224,0.198428291,,0.675,0.4851,0.0111,,,,,6.083,10.098,0.077,,,
286,04/02/2019,BW,1,1032,3,100,2,5000,65,1,59,,,,,0.645105527,0.388609321,50.96333663,79%,92%,73%,1503.5,1167.5,0.22347855,,1.2744,0.8326,0.0205,,,,,6.083,10.098,0.077,,,
287,05/02/2019,BW,1,1032,4,110,1,5000,65,1,55,,,,,0.585216267,0.352532239,46.23208507,86%,93%,81%,1545,1242,0.196116505,,0.8348,0.6656,0.015,,,,,6.083,10.098,0.077,,,
288,05/02/2019,BW,1,1032,5,130,2,5000,65,1,55,,,,,0.599376289,0.361062187,47.35072683,56%,80%,46%,1508.5,1206.5,0.200198873,,2.7005,1.9762,0.0413,,,,,6.083,10.098,0.077,,,
289,05/02/2019,BW,1,1032,6,130,1,5000,65,1,60.5,,,,,0.652608297,0.393128963,51.55605549,95%,98%,91%,1524,1159,0.239501312,,0.3108,0.2484,0.0068,,,,,6.083,10.098,0.077,,,
290,05/02/2019,BW,1,1032,7,130,2,5000,65,1,60,,,,,0.656257762,0.395327388,51.84436322,87%,95%,77%,1503,1167,0.223552894,,0.7655,0.5083,0.0179,,,,,6.083,10.098,0.077,,,
291,06/02/2019,BW,1,1032,8,120,1,5000,65,1,60,,,,,0.652135813,0.39284434,51.5187292,94%,97%,88%,1512.5,1168,0.227768595,,0.3867,0.3371,0.009,,,,,6.083,10.098,0.077,,,
292,06/02/2019,BW,1,1032,9,130,2,5000,65,1,60,,,,,0.628051841,0.37833624,49.61609546,77%,87%,75%,1570.5,1238,0.211716014,,1.4186,1.3187,0.0194,,,,,6.083,10.098,0.077,,,
293,06/02/2019,BW,1,1032,10,130,1,5000,65,1,60,,,,,0.656257762,0.395327388,51.84436322,98%,99%,100%,1503,1173,0.219560878,,0.116,0.112,0,,,,,6.083,10.098,0.077,,,
294,06/02/2019,BW,1,1032,11,100,2,5000,65,1,45.5,,,,,0.686225863,0.413380068,54.2118432,91%,96%,100%,1090,856,0.214678899,,0.546,0.393,0,,,,,6.083,10.098,0.077,,,
295,07/02/2019,SK ,,1028,1,145,1,5000,65,1,70.5,,,,,0.322009037,20.51717841,34.54730776,96%,100%,90%,1500.5,1160,0.226924359,,0.6186,0,0.0132,,,,,14.591,0.229,0.136,,,
297,08/02/2019,SK ,,1028,3,155,1,5000,65,1,75,,,,,0.313424079,19.97017787,33.62625538,99%,100%,95%,1640,1372,0.163414634,,0.1496,0,0.0068,,,,,14.591,0.229,0.136,,,
298,08/02/2019,SK ,,1028,4,140,2,5000,65,1,65.5,,,,,0.294172255,18.74352561,31.56078945,87%,100%,48%,1526,1269.5,0.168086501,,1.881,0,0.0705,,,,,14.591,0.229,0.136,,,
299,08/02/2019,SK ,,1028,5,150,1,5000,65,1,70,,,,,0.342554652,21.82626604,36.75158032,96%,100%,100%,1400.5,1152.5,0.177079614,,0.5472,0,0,,,,,14.591,0.229,0.136,,,
300,11/02/2019,SK ,,1028,6,150,2,5000,65,1,70,,,,,0.329158003,20.97268308,35.31429725,91%,100%,71%,1457.5,1177.5,0.192109777,,1.2454,0,0.039,,,,,14.591,0.229,0.136,,,
301,11/02/2019,SK ,,1028,7,145,1,5000,65,1,70,,,,,0.340367357,21.68690003,36.51691255,94%,100%,87%,1409.5,1215.5,0.13763746,,0.8758,0,0.018,,,,,14.591,0.229,0.136,,,
302,11/02/2019,SK ,,1028,8,145,2,5000,65,1,70,,,,,0.336901538,21.46607134,36.14507601,95%,100%,86%,1424,1247,0.124297753,,0.6826,0,0.0191,,,,,14.591,0.229,0.136,,,
303,11/02/2019,SK ,,1028,9,150,1,5000,65,1,70,,,,,0.327249516,20.85108158,35.10954177,99%,100%,76%,1466,1206,0.177353342,,0.086,0,0.032,,,,,14.591,0.229,0.136,,,
304,11/02/2019,SK ,,1028,10,150,2,5000,65,1,70,,,,,0.365382932,23.28079634,39.20075265,100%,100%,54%,1313,1096,0.165270373,,0.041,0,0.063,,,,,14.591,0.229,0.136,,,
305,12/02/2019,SK ,,1028,11,145,1,5000,65,1,65,,,,,0.350909878,22.35862897,37.64798554,-,100%,-,1269.5,1002,0.210712879,,,0,,,,,,14.591,0.229,0.136,,,
309,13/02/2019,SK ,,1029,4,160,2,5000,65,1,80,,,,,0.360036717,157.4183392,34.65183568,98%,100%,94%,1452,1131,0.22107438,,0.351,0,0.01,,,,,15.303,0.035,0.159,,,
310,14/02/2019,SK ,,1029,5,160,1,5000,65,1,80,,,,,0.350384258,153.1980084,33.72283204,92%,100%,83%,1492,1202,0.194369973,,1.27,0,0.027,,,,,15.303,0.035,0.159,,,
311,14/02/2019,SK ,,1029,6,160,2,5000,65,1,80,,,,,0.365959617,160.0080004,35.22188688,95%,100%,87%,1428.5,1166.5,0.18340917,,0.741,0,0.021,,,,,15.303,0.035,0.159,,,
312,15/02/2019,SK ,,1029,7,160,1,5000,65,1,80,,,,,0.393506445,172.0522609,37.87313919,97%,100%,92%,1328.5,1066,0.197591268,,0.455,0,0.013,,,,,15.303,0.035,0.159,,,
313,2019/02.19,BW,1,1037,1,115,1,5000,65,1,60,,,,,0.592657039,0.347737802,57.38743693,95%,98%,100%,1608.5,1258.5,0.217594032,,0.3384,0.1755,0,,,,,6.294,10.727,0.065,,,
314,2019/02.19,BW,1,1037,2,110,2,5000,65,1,60,,,,,0.58591816,0.343783807,56.73490615,97%,98%,100%,1627,1240,0.237861094,,0.2101,0.17,0,,,,,6.294,10.727,0.065,,,
315,2019/02.19,BW,1,1037,3,120,1,5000,65,1,61.5,,,,,0.617844494,0.362516384,59.82635764,96%,98%,100%,1581.5,1223.5,0.226367373,,0.252,0.2109,0,,,,,6.294,10.727,0.065,,,
316,2019'02'20,BW,1,1037,4,125,2,5000,65,1,55.5,,,,,0.53120011,0.311678334,51.43651529,93%,97%,100%,1660,1293.5,0.220783133,,0.4156,0.3229,0,,,,,6.294,10.727,0.065,,,
317,20/02/2019,BW,1,1037,5,100,1,5000,65,1,55,,,,,0.571890124,0.335552945,55.37656061,92%,96%,100%,1528,1196,0.217277487,,0.5061,0.3954,0,,,,,6.294,10.727,0.065,,,
318,20/02/2019,BW,1,1037,6,95,2,5000,65,1,50,,,,,0.53013505,0.311053417,51.33338467,95%,98%,100%,1498.5,1161,0.225225225,,0.3269,0.2496,0,,,,,6.294,10.727,0.065,,,
319,22/02/2019,BW,1,1035,1,90,1,5000,65,1,50,,,,,0.511601485,0.303182445,50.47242187,90%,96%,67%,1624,1327,0.182881773,,0.623,0.439,0.02,,,,,6.018,10.155,0.061,,,
320,22/02/2019,BW,1,1035,2,130,2,5000,65,1,65.5,,,,,0.659237712,0.390673811,65.03758279,83%,92%,52%,1651,1339,0.188976378,,1.052,0.811,0.029,,,,,6.018,10.155,0.061,,,
321,23/02/2019,BW,1,1035,3,90,1,5000,65,1,50,,,,,0.51685276,0.306294427,50.99049027,95%,98%,82%,1607.5,1253.5,0.220217729,,0.287,0.233,0.011,,,,,6.018,10.155,0.061,,,
322,23/02/2019,BW,1,1035,4,90,2,5000,65,1,50,,,,,0.513498647,0.304306731,50.65958783,95%,97%,82%,1618,1313,0.188504326,,0.303,0.258,0.011,,,,,6.018,10.155,0.061,,,
323,23/02/2019,BW,1,1035,5,130,1,5000,65,1,66,,,,,0.682033501,0.404182926,67.28651823,82%,92%,56%,1608,1310,0.185323383,,1.063,0.85,0.027,,,,,6.018,10.155,0.061,,,
324,23/02/2019,BW,1,1035,6,95,2,5000,65,1,50.5,,,,,0.525947489,0.311684096,51.88773754,93%,97%,82%,1595.5,1265.5,0.206831714,,0.399,0.301,0.011,,,,,6.018,10.155,0.061,,,
325,23/02/2019,BW,1,1035,7,120,1,5000,65,1,55,,,,,0.57479553,0.340632151,56.706877,95%,98%,100%,1590,1221,0.232075472,,0.285,0.19,0,,,,,6.018,10.155,0.061,,,
326,23/02/2019,BW,1,1035,8,100,2,5000,65,1,52,,,,,0.532885873,0.315795882,52.57224893,94%,97%,80%,1621.5,1324.5,0.183163737,,0.388,0.313,0.012,,,,,6.018,10.155,0.061,,,
327,24/02/2019,BW,1,1035,9,100,1,5000,65,1,50,,,,,0.499904218,0.296250476,49.31841944,80%,92%,31%,1662,1329.5,0.200060168,,1.175,0.821,0.042,,,,,6.018,10.155,0.061,,,
328,24/02/2019,BW,1,1035,10,120,2,5000,65,1,56.5,,,,,0.610832867,0.361988399,60.26216709,99%,99%,100%,1537,1222,0.204944697,,0.056,0.077,0,,,,,6.018,10.155,0.061,,,
329,27/02/2019,HB,,1086,1,105,1,5000,65,1,65,,,,,0.416016289,137.2164896,8.692447306,95%,100%,90%,1538,1297,0.156697009,,0.461,0,0.049,,,,,10.1589,0.0308,0.4862,,,
330,27/02/2019,HB,,1086,2,110,2,5000,65,1,60,,,,,0.384015036,126.661375,8.023797514,95%,100%,91%,1538,1307.5,0.149869961,,0.463,0,0.044,,,,,10.1589,0.0308,0.4862,,,
331,27/02/2019,HB,,1086,3,130,1,5000,65,1,60,,,,,0.385896848,127.2820613,8.063117005,93%,100%,87%,1530.5,1311,0.143417184,,0.704,0,0.062,,,,,10.1589,0.0308,0.4862,,,
332,27/02/2019,HB,,1086,4,105,2,5000,65,1,55,,,,,0.351100648,115.8050769,7.33606822,92%,100%,85%,1542,1311.5,0.149481193,,0.798,0,0.071,,,,,10.1589,0.0308,0.4862,,,
333,27/02/2019,HB,,1086,5,100,1,5000,65,1,56,,,,,0.357484296,117.9106237,7.469451278,90%,100%,81%,1542,1303.5,0.154669261,,0.971,0,0.09,,,,,10.1589,0.0308,0.4862,,,
334,28/02/2019,HB,,1086,6,100,2,5000,65,1,60.5,,,,,0.386837881,127.5924465,8.082779418,91%,100%,82%,1539.5,1378.5,0.104579409,,0.964,0,0.088,,,,,10.1589,0.0308,0.4862,,,
335,01/03/2019,HB,,1086,7,115,1,5000,65,1,81,,,,,0.51791518,170.8262507,10.82157244,98%,100%,95%,1539.5,1280,0.168561221,,0.246,0,0.023,,,,,10.1589,0.0308,0.4862,,,
336,01/03/2019,HB,,1086,8,125,2,5000,65,1,60,,,,,0.382894733,126.2918605,8.000389352,98%,100%,94%,1542.5,1306,0.153322528,,0.246,0,0.027,,,,,10.1589,0.0308,0.4862,,,
337,01/03/2019,HB,,1086,9,100,1,5000,65,1,60,,,,,0.400824653,132.2057651,8.37502584,83%,100%,73%,1473.5,177,0.879877842,,1.697,0,0.13,,,,,10.1589,0.0308,0.4862,,,
338,2019-MAR-4,HB,,1082,1,100,1,5000,65,1,55,,,,,0.408179502,180.9984533,26.39560777,95%,100%,100%,1447,1240,0.143054596,,0.444,0,0,,,,,9.312,0.021,0.144,,,
339,2019-MAR-4,HB,,1082,2,110,2,5000,65,1,55.5,,,,,0.423599968,187.8363286,27.39279792,89%,100%,72%,1407,1238,0.120113717,,1.048,0,0.041,,,,,9.312,0.021,0.144,,,
340,2019-MAR-4,HB,,1082,3,100,1,5000,65,1,58,,,,,0.444894453,197.2789116,28.76984127,96%,100%,100%,1400,1215.5,0.131785714,,0.364,0,0,,,,,9.312,0.021,0.144,,,
341,2019-MAR-4,HB,,1082,4,100,2,5000,65,1,58,,,,,0.442681047,196.2974244,28.62670773,96%,100%,100%,1407,1209,0.140724947,,0.338,0,0,,,,,9.312,0.021,0.144,,,
342,2019-MAR-4,HB,,1082,5,95,1,5000,65,1,55,,,,,0.405517157,179.8178935,26.2234428,93%,100%,100%,1456.5,1258,0.136285616,,0.611,0,0,,,,,9.312,0.021,0.144,,,
343,2019-MAR-4,HB,,1082,6,110,2,5000,65,1,65.5,,,,,0.663578746,294.2497754,42.91142558,96%,100%,100%,1060,848,0.2,,0.367,0,0,,,,,9.312,0.021,0.144,,,
344,2019-MAR-5,SB,,1014,1,140,1,5000,65,1,80,,,,,0.361529861,113.13577,14.29403546,96%,100%,88%,1504.5,1197,0.204386839,,0.602,0,0.045,,,,,14.708,0.047,0.372,,,
345,2019-MAR-5,SB,,1014,2,140,2,5000,65,1,80,,,,,0.377068752,117.9984513,14.90840648,95%,100%,88%,1442.5,1139.5,0.210051993,,0.675,0,0.044,,,,,14.708,0.047,0.372,,,
346,2019-MAR-5,SB,,1014,3,150,1,5000,65,1,81,,,,,0.378502197,118.4470279,14.96508148,98%,100%,95%,1455,1133.5,0.220962199,,0.264,0,0.019,,,,,14.708,0.047,0.372,,,
347,2019-MAR-6,SB,,1014,4,165,2,5000,65,1,90,,,,,0.422008196,132.0616288,16.68520578,100%,100%,99%,1450,1125,0.224137931,,0.062,0,0.0049,,,,,14.708,0.047,0.372,,,
350,2019-MAR-7,SB,,1014,7,145,1,5000,65,1,80,,,,,0.361770319,113.2110183,14.30354263,96%,100%,89%,1503.5,1172,0.220485534,,0.596,0,0.041,,,,,14.708,0.047,0.372,,,
351,2019-MAR-7,SB,,1014,8,120,2,5000,65,1,70,,,,,0.425128598,133.0381154,16.8085791,98%,100%,91%,1119.5,963,0.139794551,,0.331,0,0.0334,,,,,14.708,0.047,0.372,,,
352,2019-MAR-11,HB,,1019,1,125,1,5000,65,1,70,,,,,0.349826276,145.6724866,17.67574106,99%,100%,100%,1657,1381,0.166566083,,0.087,0,0,,,,,12.076,0.029,0.239,,,
354,2019-MAR-12,HB,,1019,3,125,1,5000,65,1,70,,,,,0.364109384,151.6201698,18.39742646,99%,100%,66%,1592,1322.5,0.16928392,,0.071,0,0.081,,,,,12.076,0.029,0.239,,,
