Database ID,WO Name,WO Type,Location,Date Opened,User Opened,Input Bulk Lot ID(s),Input Bulk Lot Type(s),Production,Input Weight per Bulk Lot,Input Volume per Bulk Lot,Total WO Input Weight,Total WO Input Volume,Finalized,Total Finalized Weight,Total Finalized Volume,Output Bulk Lot ID(s),Output Bulk Lot Type(s),Production,Output Weight per Bulk Lot,Output Volume per Bulk Lot,Total Output Weight,Total Output Volume,Variance Weight %,Variance Volume %,Date Closed,User Closed
4394,Milling 1107 - M,Oil - Milling,,12/03/2019 15:25,Marshall Linder,1107,Oil,R&D Oil Research Blends,4168.5,0,4168.5,0,TRUE,4107.5,0,1107,Oil,R&D Oil Research Blends,4107.5,0,4107.5,0,1.46,N/A,12/03/2019 15:26,Marshall Linder
4393,Transfer to Extraction department,Oil - Transfer to Extraction Department,,12/03/2019 15:20,Marshall Linder,1101,Dried,R&D Oil Research Blends,3477.4,0,3477.4,0,TRUE,4168.5,0,1107,Oil,R&D Oil Research Blends,4168.5,0,4168.5,0,N/A,N/A,12/03/2019 15:23,Marshall Linder
4392,Decarb SK-1103-DC,Oil - Decarboxylation,,12/03/2019 15:03,Marie Boullion,1103,Oil,Oil Sour Kush,8118.5,0,8118.5,0,TRUE,6931,0,1103,Oil,Oil Sour Kush,6931,0,6931,0,14.63,N/A,12/03/2019 15:03,Marie Boullion
4391,TTC/TTB (Harvest Day #1 and #2),Process - Transfer to Curing,Vault - Curing,12/03/2019 9:41,Brandon Gibbs,1096,Fresh,DI Delahaze-S-32-31 (Larry OG),228556.4,0,228556.4,0,TRUE,36804.7,0,1096(2),Fresh,DI Delahaze-S-32-31 (Larry OG),12217.3,0,36804.7,0,83.9,N/A,12/03/2019 9:56,Brandon Gibbs
4391,TTC/TTB (Harvest Day #1 and #2),Process - Transfer to Curing,Vault - Curing,12/03/2019 9:41,Brandon Gibbs,1096,Fresh,DI Delahaze-S-32-31 (Larry OG),228556.4,0,228556.4,0,TRUE,36804.7,0,1096(1),Fresh,DI Delahaze-S-32-31 (Larry OG),11205.2,0,36804.7,0,83.9,N/A,12/03/2019 9:56,Brandon Gibbs
4391,TTC/TTB (Harvest Day #1 and #2),Process - Transfer to Curing,Vault - Curing,12/03/2019 9:41,Brandon Gibbs,1096,Fresh,DI Delahaze-S-32-31 (Larry OG),228556.4,0,228556.4,0,TRUE,36804.7,0,1096,Fresh,DI Delahaze-S-32-31 (Larry OG),13382.2,0,36804.7,0,83.9,N/A,12/03/2019 9:56,Brandon Gibbs
4390,Milling SK-1103-MC,Oil - Milling,,11/03/2019 16:40,Marie Boullion,1103,Dried,Oil Sour Kush,8172,0,8172,0,TRUE,8118.5,0,1103,Dried,Oil Sour Kush,8118.5,0,8118.5,0,0.65,N/A,11/03/2019 16:42,Marie Boullion
4389,A2 Transfer SK-1103-B,Oil - Transfer to Extraction Department,,11/03/2019 16:38,Marie Boullion,1103,Dried,Oil Sour Kush,8139.5,0,8139.5,0,TRUE,8172,0,1103,Dried,Oil Sour Kush,8172,0,8172,0,N/A,N/A,11/03/2019 16:39,Marie Boullion
4388,A1 Intake SK-1103,Allocate for Extraction,,11/03/2019 16:37,Marie Boullion,1079(3),Dried,DI Sour Kush-S-8-15 (Afternoon Delight),10240.7,0,10240.7,0,TRUE,8139.5,0,1103,Dried,Oil Sour Kush,8139.5,0,8139.5,0,20.52,N/A,11/03/2019 16:38,Marie Boullion
4387,Extraction-SB-1014-CR,Oil - Extraction,,11/03/2019 16:05, Eric Heimpel,1014,Dried,Oil Sativa Blend,11372,0,11372,0,TRUE,2108,0,1014,Dried,Oil Sativa Blend,2108,0,2108,0,81.46,N/A,28/03/2019 10:28,Paul Schapurga
